cve_ent,nom_ent,nom_abr,cve_mun,nom_mun,cve_cab,nom_cab,ptot,pmas,pfem,vtot
"01","Aguascalientes","Ags.","001","Aguascalientes","0001","Aguascalientes","797010","386429","410581","202141"
"01","Aguascalientes","Ags.","002","Asientos","0001","Asientos","45492","22512","22980","10012"
"01","Aguascalientes","Ags.","003","Calvillo","0001","Calvillo","54136","26250","27886","12847"
"01","Aguascalientes","Ags.","004","Cosío","0001","Cosío","15042","7326","7716","3467"
"01","Aguascalientes","Ags.","005","Jesús María","0001","Jesús María","99590","49090","50500","22924"
"01","Aguascalientes","Ags.","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","41862","20170","21692","9416"
"01","Aguascalientes","Ags.","007","Rincón de Romos","0001","Rincón de Romos","49156","24067","25089","11089"
"01","Aguascalientes","Ags.","008","San José de Gracia","0001","San José de Gracia","8443","4043","4400","1899"
"01","Aguascalientes","Ags.","009","Tepezalá","0001","Tepezalá","19668","9600","10068","4446"
"01","Aguascalientes","Ags.","010","El Llano","0001","Palo Alto","18828","9573","9255","4159"
"01","Aguascalientes","Ags.","011","San Francisco de los Romo","0001","San Francisco de los Romo","35769","17578","18191","8477"
