cve_ent,nom_ent,nom_abr,cve_mun,nom_mun,cve_loc,nom_loc,latitud,longitud,altitud,cve_carta,ambito,ptot,pmas,pfem,vtot
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0001","Villa de Acambay de Ruíz Castañeda","195714","995035","2567","E14A17","U","4077","1913","2164","1018"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0002","Agostadero (San José Agostadero)","200225","1000007","2691","F14C86","R","645","303","342","205"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0003","Agua Limpia","195452","994916","2718","E14A17","R","202","108","94","43"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0004","Las Arenas (San Agustín)","195926","994346","2631","E14A17","R","767","386","381","169"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0006","Boshi Chiquito","195537","994902","2644","E14A17","R","361","186","175","81"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0007","Boshi Grande","195715.976","994840.083","2740","E14A17","R","177","83","94","42"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0008","Botidi","195759","995034","2672","E14A17","R","615","288","327","131"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0009","Bovini","200022.894","994826.257","2699","F14C87","R","382","195","187","96"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0010","Boshindo","195510","995036","2525","E14A17","R","1153","529","624","276"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0011","La Caridad","195652","995013","2582","E14A17","R","1340","654","686","315"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0012","Conejeras","200046.792","995729.363","2957","F14C87","R","1028","504","524","238"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0013","Chanteje","195331.336","994824.348","2730","E14A17","R","92","42","50","19"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0014","Los Charcos","200154","1000115","2602","F14C86","R","182","81","101","60"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0015","Dateje","195942.421","995001.689","2773","E14A17","R","346","181","165","73"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0016","Detiña (San Antonio Detiña)","195813","995302","2545","E14A17","R","2453","1185","1268","505"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0017","Dongu (Dongu Centro)","195817","995204","2697","E14A17","R","588","276","312","129"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0019","Endeje","195739","995012","2628","E14A17","R","984","455","529","241"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0020","El Ermitaño","200057","995347","2719","F14C87","R","480","247","233","97"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0021","Esdoca (Esdoca Centro)","195740","995058","2580","E14A17","R","322","139","183","74"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0022","La Estancia Sector Uno (La Estancia)","195214","994730","2748","E14A17","R","1075","521","554","233"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0023","Gando","200204.722","1000318.667","2554","F14C86","R","155","71","84","44"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0024","Ganzda","195924","995051","2807","E14A17","R","2433","1186","1247","479"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0025","Barrio de Guadalupe","195642","995609","2658","E14A17","R","279","146","133","61"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0026","Hondiga","195341.745","995056.428","2575","E14A17","R","305","151","154","68"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0027","La Huerta","195937.114","994800.101","2743","E14A17","R","430","226","204","111"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0028","Juando","200151","995952","2709","F14C87","R","726","351","375","183"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0029","La Laguna","195444.376","995335.5","2568","E14A17","R","170","73","97","40"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0031","La Loma (Santa María la Loma)","200113","1000038","2681","F14C86","R","1274","627","647","364"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0033","La Manga","195725.02","994628.794","2700","E14A17","R","244","127","117","47"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0034","Muyteje","200115","995557","2870","F14C87","R","249","129","120","81"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0035","Pathé","195541","995021","2533","E14A17","R","1114","526","588","274"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0036","Los Pilares","200018","994311","2630","F14C87","R","965","500","465","221"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0037","Pueblo Nuevo","195602","995455","2546","E14A17","U","4422","2151","2271","967"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0038","Puentecillas","200135","995753","2900","F14C87","R","1851","923","928","446"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0039","San Antonio las Palmas","195830.98","994702.781","2719","E14A17","R","91","40","51","22"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0040","San Francisco Shaxni","200301","995941","2714","F14C87","R","2211","1047","1164","481"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0041","San Ildefonso (San Ildefonso Yolotepec)","195614","995016","2538","E14A17","R","771","364","407","191"
"15","México","Mex.","001","Acambay de Ruíz Castañeda","0042","San José Bocto","195512","995419","2575","E14A17","R","424","211","213","110"
